FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
10	10A	73	65.4	579	46320	0.25	19.5		0.7561	25
10	10B	105	97.4	603	48240	0.25	19.5		1.0806	25
10	10C	93	85.4	624	49920	0.25	19.5		0.9159	25
10	10D	50.2	42.6	556	44480	0.25	19.5		0.5131	25
10	11C	56.5	48.9	526	42080	0.25	19.5		0.6225	25
10	11D	42.1	34.5	602	48160	0.25	19.5		0.3839	25
10	10A	57.4	49.9	999.99	79999.2	0.32	19.5		0.3343	32
10	10B	71.1	63.6	212	84800	0.32	19.5		0.4019	32
10	10C	54.2	46.7	201.7	80680	0.32	19.5		0.3102	32
10	10D	67.7	60.2	184.1	73640	0.32	19.5		0.4381	32
10	11C	89.9	82.4	226.3	90520	0.32	19.5		0.4877	32
10	11D	81.7	74.2	191.8	76720	0.32	19.5		0.5182	32
6	3A	292	283.6	218	17440	0.4	21.8		8.5814	40
6	3B	306	297.6	228	18240	0.4	21.8		8.6096	40
6	3C	245	236.6	222	17760	0.4	21.8		7.0506	40
6	3D	198	189.6	217	17360	0.4	21.8		5.7940	40
6	3E	237	228.6	222	17760	0.4	21.8		6.8153	40
6	3F	295	286.6	232	18560	0.4	21.8		8.1554	40
2	3A	484	951.6	235	18800	0.5	21.8		25.8378	50
2	3B	473	929.6	209	16720	0.5	21.8		28.2465	50
2	3C	602	1187.6	214	17120	0.5	21.8		34.7890	50
2	3D	457	897.6	205	16400	0.5	21.8		27.8292	50
2	3E	487	957.6	241	19280	0.5	21.8		25.3763	50
2	3F	538	1059.6	219	17520	0.5	21.8		30.5851	50
2	2A	279	1355.5	242	19360	0.55	21.8		35.0920	55
2	2B	329	1605.5	213	17040	0.55	21.8		46.1785	55
2	2C	391	1915.5	201	16080	0.55	21.8		57.0850	55
2	2D	468	2300.5	228	18240	0.55	21.8		60.0641	55
2	2E	395	1935.5	218	17440	0.55	21.8		53.5728	55
2	2F	346	1690.5	202	16160	0.55	21.8		50.7889	55
1	1A	227	2189	238	19040	0.61	21.8		55.2993	65
1	1B	183	1749	214	17120	0.61	21.8		49.7101	65
1	1C	178	1699	207	16560	0.61	21.8		49.9023	65
1	1D	193	1849	213	17040	0.61	21.8		52.4967	65
1	1E	179	1709	213	17040	0.61	21.8		48.8841	65
1	1F	141	1329	209	16720	0.61	21.8		39.4890	65
9	9A	814	3248.9	536	42880	0.65	23.4	1	37.7717	65
9	9B	782	3120.9	404	32320	0.65	23.4		47.2258	65
9	9C	809	3228.9	494	39520	0.65	23.4		40.5073	65
9	9D	700	2792.9	383	30640	0.65	23.4		44.8007	65
9	9E	707	2820.9	325	26000	0.65	23.4		52.4909	65
9	9F	803	3204.9	307	24560	0.65	23.4		61.9045	65
7	7A	269	2607	221	17680	0.75	20.6		68.9171	75
7	7B	194	1857	213	17040	0.75	20.6		52.7015	75
7	7C	270	2617	232	18560	0.75	20.6		66.2740	75
7	7D	237	2287	210	16800	0.75	20.6		64.2587	75
7	7E	213	2047	194	15520	0.75	20.6		62.4919	75
7	7F	218	2097	201	16080	0.75	20.6		61.8700	75
