FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
7	7A	50.3	43.1	488	39040	0.27	19.5		0.5914	25
7	7B	49.8	42.6	482	38560	0.27	19.5		0.5918	25
7	7C	93.9	86.7	515	41200	0.27	19.5		1.1262	25
7	7D	91.9	84.7	498	39840	0.27	19.5		1.1377	25
7	7E	61.5	54.3	457	36560	0.27	19.5		0.7953	25
7	7F	113.5	106.3	459	36720	0.27	19.5		1.5480	25
3	3A	95.4	88.6	276	22080	0.33	23.4		2.1434	30
3	3B	28.5	21.7	374	29920	0.33	23.4		0.3887	30
3	3C	77	70.2	546	43680	0.33	23.4		0.8605	30
3	3D	89.2	82.4	433	34640	0.33	23.4		1.2727	30
3	3E	53.6	46.8	301	24080	0.33	23.4		1.0403	30
3	3F	96	89.2	232	18560	0.33	23.4		2.5651	30
6	6A	168	159.8	199	15920	0.4	23.1		5.3297	40
6	6B	164	155.8	193	15440	0.4	23.1		5.3575	40
6	6C	177	168.8	217	17360	0.4	23.1		5.1644	40
6	6D	117	108.8	201	16080	0.4	23.1		3.6043	40
6	6E	120	111.8	206	16480	0.4	23.1		3.6137	40
6	6F	192	183.8	209	16720	0.4	23.1		5.8313	40
3	3A	634	626	191	15280	0.5	23.1		21.1065	50
3	3B	402	394	198	15840	0.5	23.1		13.0159	50
3	3C	724	716	199	15920	0.5	23.1		23.0817	50
3	3D	813	805	203	16240	0.5	23.1		25.3281	50
3	3E	673	665	214	17120	0.5	23.1		20.0526	50
3	3F	402	394	211	16880	0.5	23.1		12.2323	50
2	2A	240	463.8	216	17280	0.55	23		14.0181	55
2	2B	520	1023.8	215	17200	0.55	23		30.1287	55
2	2C	358	699.8	210	16800	0.55	23		21.4459	55
2	2D	480	943.8	217	17360	0.55	23		27.6530	55
2	2E	350	683.8	209	16720	0.55	23		21.0712	55
2	2F	419	821.8	222	17760	0.55	23		23.7182	55
10	10A	563	2244.8	235	18800	0.65	23.4		57.2053	65
10	10B	506	2016.8	285	22800	0.65	23.4		43.5834	65
10	10C	374	1488.8	258	20640	0.65	23.4		36.0813	65
10	10D	368	1464.8	251	20080	0.65	23.4		36.4619	65
10	11C	369	1468.8	245	19600	0.65	23.4		37.3875	65
10	11D	364	1448.8	241	19280	0.65	23.4		37.4833	65
1	1A	176	839.5	206	16480	0.65	23.3		25.9950	65
1	1B	158	749.5	207	16560	0.65	23.3		23.2215	65
1	1C	194	929.5	221	17680	0.65	23.3		26.7867	65
1	1D	186	889.5	215	17200	0.65	23.3		26.3708	65
1	1E	154	729.5	203	16240	0.65	23.3		23.0547	65
1	1F	153	724.5	210	16800	0.65	23.3		22.1716	65
8	8A	240	1159	192	15360	0.75	21.1		37.6273	75
8	8B	123	574	223	17840	0.75	21.1		16.7174	75
8	8C	184	879	189	15120	0.75	21.1		29.4645	75
8	8D	135	634	199	15920	0.75	21.1		20.5395	75
8	8E	167	794	214	17120	0.75	21.1		23.7701	75
8	8F	155	734	186	14880	0.75	21.1		25.2107	75
13	13B	186	890	235	18800	0.85	21.8		24.2409	85
13	13C	150	710	207	16560	0.85	21.8		22.0480	85
13	13D	153	725	229	18320	0.85	21.8		20.4155	85
13	13E	175	835	236	18880	0.85	21.8		22.7140	85
13	13F	148	700	207	16560	0.85	21.8		21.7501	85
