FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
6	6A	39.2	149.8	163	13040	0.25	23.4		6.0908	25
6	6B	43.4	166.6	204	16320	0.25	23.4		5.4194	25
6	6C	23.9	88.6	189	15120	0.25	23.4		3.1243	25
6	6D	56.6	219.4	228	18240	0.25	23.4		6.3742	25
6	6E	57.7	223.8	207	16560	0.25	23.4		7.1511	25
6	6F	43.5	167	330	26400	0.25	23.4		3.3711	25
7	7A	58.8	50.7	874	69920	0.32	19.5		0.3886	30
7	7B	64	55.9	860	68800	0.32	19.5		0.4354	30
7	7C	84.9	76.8	852	68160	0.32	19.5		0.6036	30
7	7D	46.8	38.7	850	68000	0.32	19.5		0.3050	30
7	7E	61.3	53.2	960	76800	0.32	19.5		0.3712	30
7	7F	138.3	130.2	841	67280	0.32	19.5		1.0358	30
8	8A	139	130.9	978	78240	0.32	19.5		0.8958	30
8	11A	81	72.9	845	67600	0.32	19.5		0.5777	30
8	8C	122	113.9	832	66560	0.32	19.5		0.9162	30
8	8D	139	130.9	899	71920	0.32	19.5		0.9743	30
8	8E	116	107.9	906	72480	0.32	19.5		0.7972	30
8	11B	148	139.9	903	72240	0.32	19.5		1.0366	30
13	13B	200	191.8	216	17280	0.4	23.3		5.8873	40
13	13C	237	228.8	217	17360	0.4	23.3		6.9763	40
13	13D	230	221.8	204	16320	0.4	23.3		7.1909	40
13	13E	244	235.8	225	18000	0.4	23.3		6.9346	40
13	13F	195	186.8	205	16400	0.4	23.3		6.0397	40
12	12A	321	625.8	192	15360	0.5	23.4		20.9945	50
12	12B	418	819.8	201	16080	0.5	23.4		26.0154	50
12	12C	398	779.8	186	14880	0.5	23.4		26.7055	50
12	12D	356	695.8	209	16720	0.5	23.4		21.4262	50
12	12E	437	857.8	211	16880	0.5	23.4		25.9352	50
12	12F	414	811.8	204	16320	0.5	23.4		25.4126	50
8	8A	145	684.5	167	13360	0.55	24.1		26.1379	55
8	8B	186	889.5	176	14080	0.55	24.1		31.8671	55
8	8C	181	864.5	161	12880	0.55	24.1		33.7318	55
8	8D	169	804.5	180	14400	0.55	24.1		28.3764	55
8	8E	218	1049.5	198	15840	0.55	24.1		33.3249	55
8	8F	181	864.5	193	15440	0.55	24.1		28.4355	55
8	8A	477	947	252	20160	0.65	23.4		24.0618	65
8	11A	454	901	254	20320	0.65	23.4		22.7700	65
8	8C	559	1111	260	20800	0.65	23.4		27.1929	65
8	8D	474	941	278	22240	0.65	23.4		21.7701	65
8	8E	581	1155	262	20960	0.65	23.4		28.0091	65
8	11B	634	1261	243	19440	0.65	23.4		32.6684	65
7	7A	100	921	169	13520	0.65	24.2		34.2032	65
7	7B	102	941	181	14480	0.65	24.2		32.7251	65
7	7C	120	1121	182	14560	0.65	24.2		38.3385	65
7	7D	120	1121	176	14080	0.65	24.2		39.5492	65
7	7E	133	1251	185	14800	0.65	24.2		41.7983	65
7	7F	119	1111	180	14400	0.65	24.2		38.4130	65
12	12A	151	1429	200	16000	0.75	21.4		43.9707	75
12	12B	140	1319	191	15280	0.75	21.4		42.6154	75
12	12C	133	1249	198	15840	0.75	21.4		39.1967	75
12	12D	144	1359	189	15120	0.75	21.4		44.2275	75
12	12E	178	1699	205	16400	0.75	21.4		50.3434	75
12	12F	134	1259	207	16560	0.75	21.4		37.8919	75
10	10A	158	1498	199	15920	0.85	22		46.1230	85
10	10B	138	1298	250	20000	0.85	22		32.6843	85
10	10C	126	1178	242	19360	0.85	22		30.7603	85
10	10D	134	1258	249	19920	0.85	22		31.8566	85
10	10E	133	1248	242	19360	0.85	22		32.4775	85
10	10F	138	1298	211	16880	0.85	22		38.2941	85
