FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
8	8A	39.5	32.5	436	34880	0.27	19.5		0.50	25
8	11A	53.9	46.9	415	33200	0.27	19.5		0.76	25
8	8C	44.3	37.3	413	33040	0.27	19.5		0.60	25
8	8D	37.2	30.2	468	37440	0.27	19.5		0.43	25
8	8E	36.6	29.6	458	36640	0.27	19.5		0.43	25
8	11B	33.1	26.1	433	34640	0.27	19.5		0.40	25
6	6A	53	45.3	635	50800	0.25	19.9		0.48	25
6	6B	76	68.3	655	52400	0.25	19.9		0.70	25
6	6C	58	50.3	788	63040	0.25	19.9		0.43	25
6	6D	47	39.3	659	52720	0.25	19.9		0.40	25
6	6E	83	75.3	675	54000	0.25	19.9		0.75	25
6	6F	65	57.3	665	53200	0.25	19.9		0.58	25
10	10A	60	52.5	609	48720	0.253	23.9		0.58	25
10	10B	45	37.5	594	47520	0.253	23.9		0.42	25
10	10C	60	52.5	577	46160	0.253	23.9		0.61	25
10	10D	51	43.5	583	46640	0.253	23.9		0.50	25
10	11C	67	59.5	595	47600	0.253	23.9		0.67	25
10	11D	40	32.5	596	47680	0.253	23.9		0.37	25
2	2A	45.1	38.2	243	19440	0.355	23.4		1.0518	30
2	2B	33.7	26.8	251	20080	0.355	23.4		0.7148	30
2	2C	47.7	40.8	269	21520	0.355	23.4		1.0148	30
2	2D	46.4	39.5	281	22480	0.355	23.4		0.9407	30
2	2E	39.3	32.4	290	23200	0.355	23.4		0.7479	30
2	2F	37.1	30.2	274	21920	0.355	23.4		0.7379	30
13	13B	130	122.3	634	50720	0.305	19.9		1.2900	30
13	13C	215	207.3	632	50560	0.305	19.9		2.1899	30
13	13D	121	113.3	634	50720	0.305	19.9		1.1953	30
13	13E	217	209.3	701	56080	0.305	19.9		1.9941	30
13	13F	136	128.3	659	52720	0.305	19.9		1.3020	30
2	2A	82	74.6	585	46800	0.307	23.9		0.8535	30
2	2B	188	180.6	588	47040	0.307	23.9		2.0511	30
2	2C	73	65.6	517	41360	0.307	23.9		0.8493	30
2	2D	216	208.6	516	41280	0.307	23.9		2.6964	30
2	2E	236	228.6	536	42880	0.307	23.9		2.8439	30
2	2F	94	86.6	537	42960	0.307	23.9		1.0789	30
1	1A	108	100.2	523	41840	0.4	23.9		1.2813	40
1	1B	169	161.2	520	41600	0.4	23.9		2.0701	40
1	1C	103	95.2	557	44560	0.4	23.9		1.1433	40
1	1D	194	186.2	524	41920	0.4	23.9		2.3716	40
