FingerBatch	Finger	F	F_corr	C	C_corr	RH	temp	Removed	Tx_unCorr	RH_grouped
9	9A	117	109.8	436	34880	0.25	19.5		1.68292453295205	25
9	9B	91	83.8	443	35440	0.25	19.5		1.26511021882201	25
9	9C	101	93.8	407	32560	0.25	19.5		1.54053961736234	25
9	9D	136	128.8	433	34640	0.25	19.5		1.98668916208082	25
9	9E	165	157.8	447	35760	0.25	19.5		2.35613967503752	25
9	9F	434	426.8	497	39760	0.25	19.5	1	5.69566905268536	25
3	3A	55	47.3	554	44320	0.25	19.9		0.571744376722376	25
3	3B	91	83.3	537	42960	0.25	19.9		1.03787058341455	25
3	3C	120	112.3	560	44800	0.25	19.9		1.34096740457725	25
3	3D	70	62.3	558	44640	0.25	19.9		0.74741522325272	25
3	3E	67	59.3	558	44640	0.25	19.9		0.711471868342435	25
3	3F	58	50.3	524	41920	0.25	19.9		0.642731630109047	25
6	6A	54	44.9	529	42320	0.25	23		0.568386712715144	25
6	6B	208	198.9	494	39520	0.25	23		2.68560002423215	25
6	6C	102	92.9	526	42080	0.25	23		1.18137019371405	25
6	6D	58	48.9	513	41040	0.25	23		0.638246005902338	25
6	6E	166	156.9	535	42800	0.25	23		1.95881658371809	25
6	6F	97	87.9	442	35360	0.25	23		1.32984836787129	25
9	9A	43.9	35.2	878	70240	0.32	19.5		0.26862370486957	31
9	9B	64.99	56.29	884	70720	0.32	19.5		0.426527675929635	31
9	9C	97.6	88.9	922	73760	0.32	19.5		0.645596982163151	31
9	9D	50.7	42	846	67680	0.32	19.5		0.332600789955334	31
9	9E	65.7	57	904	72320	0.32	19.5		0.422355388402538	31
9	9F	57.7	49	921	73680	0.32	19.5		0.356419533881932	31
12	12A	131	122.9	476	38080	0.31	19.9		1.7252789065907	31
12	12B	117	108.9	496	39680	0.31	19.9		1.46780954759097	31
12	12C	90	81.9	516	41280	0.31	19.9		1.06190870970247	31
12	12D	90	81.9	528	42240	0.31	19.9		1.03782112475674	31
12	12E	75	66.9	471	37680	0.31	19.9		0.95049226852502	31
12	12F	89	80.9	523	41840	0.31	19.9		1.0349555196391	31
3	3A	317	308	476	38080	0.32	22.9		4.30287759492387	31
3	3B	261	252	443	35440	0.32	22.9		3.78646038843804	31
3	3C	180	171	459	36720	0.32	22.9		2.48587590033427	31
3	3D	146	137	468	37440	0.32	22.9		1.9552496813132	31
3	3E	314	305	477	38160	0.32	22.9		4.25243676235867	31
3	3F	266	257	485	38800	0.32	22.9		3.52888904081596	31
7	7A	230	222.3	228	18240	0.41	23.4		6.45739600109417	40
7	7B	114	106.3	203	16240	0.41	23.4		3.48752685714642	40
7	7C	128	120.3	203	16240	0.41	23.4		3.94346622601201	40
7	7D	143	135.3	222	17760	0.41	23.4		4.05473592208455	40
7	7E	109	101.3	215	17200	0.41	23.4		3.14003486338911	40
7	7F	52.2	44.5	202	16160	0.41	23.4		1.4727469677475	40
2	2A	189	180.3	431	34480	0.4	22.8		2.78976210516487	40
2	2B	341	332.3	446	35680	0.4	22.8		4.94861016978663	40
2	2C	181	172.3	498	39840	0.4	22.8		2.30938064947069	40
2	2D	229	220.3	519	41520	0.4	22.8		2.83049695756364	40
2	2E	202	193.3	498	39840	0.4	22.8		2.58948991738113	40
2	2F	177	168.3	445	35600	0.4	22.8		2.52342021550931	40
7	7A	471	461.1	643	51440	0.4	22.6		4.7645547426926	40
7	7B	313	303.1	625	50000	0.4	22.6		3.2314314531824	40
7	7C	918	908.1	682	54560	0.4	22.6		8.77999254666761	40
7	7D	810	800.1	675	54000	0.4	22.6		7.83008868203917	40
7	7E	372	362.1	608	48640	0.4	22.6		3.9629408844151	40
7	7F	712	702.1	661	52880	0.4	22.6		7.02721116114249	40
8	8A	191	183.4	196	15680	0.5	23.4		6.20021597167803	50
8	11A	334	326.4	190	15200	0.5	23.4		11.2741326656176	50
8	8C	100	92.4	196	15680	0.5	23.4	1	3.14179576565274	50
8	8D	248	240.4	201	16080	0.5	23.4		7.89964228766009	50
8	8E	158	150.4	190	15200	0.5	23.4		5.25450610389276	50
8	11B	168	160.4	197	15760	0.5	23.4		5.40323865375445	50
1	1A	413	810.4	560	44800	0.5	22.8		9.52882415974499	50
1	1B	867	1718.4	635	50800	0.5	22.8		17.5475520299892	50
1	1C	296	576.4	640	51200	0.5	22.8	1	5.97029626568028	50
1	1D	658	1300.4	645	51600	0.5	22.8		13.1832280964122	50
1	1E	447	878.4	661	52880	0.5	22.8		8.76293830517061	50
1	1F	531	1046.4	548	43840	0.5	22.8		12.5022079154065	50
3	3A	672	1323.2	564	45120	0.5	22.6		15.2794287639527	50
3	3B	575	1129.2	559	44720	0.5	22.6		13.2081766475509	50
3	3C	756	1491.2	603	48240	0.5	22.6		16.0809135665222	50
3	3D	654	1287.2	602	48160	0.5	22.6		13.9607287242205	50
3	3E	591	1161.2	618	49440	0.5	22.6		12.3069368568376	50
3	3F	910	1799.2	651	52080	0.5	22.6		17.9086176831387	50
2	2A	745	4415.4	573	45840	0.55	22.3		47.1184592364591	55
2	2B	773	4583.4	562	44960	0.55	22.3		49.6141681657166	55
2	2C	990	5885.4	507	40560	0.55	22.3	1	67.9574444556269	55
2	2D	808	4793.4	509	40720	0.55	22.3		56.4817511455559	55
2	2E	666	3941.4	542	43360	0.55	22.3		44.6869052172197	55
2	2F	874	5189.4	544	43520	0.55	22.3	1	57.1357758289612	55
13	13B	429	4197	688	55040	0.55	23.2		37.9970320017168	55
13	13C	424	4147	555	44400	0.55	23.2		45.811593586741	55
13	13D	603	5937	749	59920	0.55	23.2		48.3469261213861	55
13	13E	494	4847	612	48960	0.55	23.2		48.3101073369283	55
13	13F	459	4497	719	57520	0.55	23.2		38.8880256972573	55
10	10A	394	3792	477	38160	0.55	23.4		48.4751788463292	55
10	10B	390	3752	513	41040	0.55	23.4		44.9227295565515	55
10	10C	332	3172	574	45920	0.55	23.4		34.6518331432191	55
10	10D	305	2902	508	40640	0.55	23.4		35.7431477236672	55
10	11C	373	3582	720	57600	0.55	23.4		31.3982666384627	55
10	11D	426	4112	589	47120	0.55	23.4		43.0442908392096	55
